fold,threshold,accuracy,true_positive,false_positive,true_negative,false_negative
1,0.2821146845817566,0.9316666666666666,276,17,283,24
2,0.2892782688140869,0.9116666666666666,263,16,284,37
3,0.2892782688140869,0.9133333333333333,261,13,287,39
4,0.2897874116897583,0.91,257,11,289,43
5,0.2789198160171509,0.91,263,17,283,37
6,0.2789198160171509,0.9266666666666666,273,17,283,27
7,0.2892782688140869,0.9266666666666666,268,12,288,32
8,0.2821146845817566,0.9366666666666666,271,9,291,29
9,0.2892782688140869,0.9333333333333333,269,9,291,31
10,0.2789198160171509,0.9433333333333334,280,14,286,20
