fold,threshold,accuracy,true_positive,false_positive,true_negative,false_negative
1,0.27834129333496094,0.95,275,5,295,25
2,0.27834129333496094,0.9316666666666666,269,10,290,31
3,0.27896371483802795,0.93,267,9,291,33
4,0.3052901327610016,0.93,265,7,293,35
5,0.27834129333496094,0.9383333333333334,268,5,295,32
6,0.27834129333496094,0.9483333333333334,279,10,290,21
7,0.27524125576019287,0.9333333333333333,277,17,283,23
8,0.3059558868408203,0.9416666666666667,270,5,295,30
9,0.27834129333496094,0.9516666666666667,280,9,291,20
10,0.27834129333496094,0.9566666666666667,285,11,289,15
