fold,threshold,accuracy,true_positive,false_positive,true_negative,false_negative
1,0.9837840795516968,0.8583333333333333,256,41,259,44
2,0.9837498664855957,0.84,261,57,243,39
3,0.985072672367096,0.84,253,49,251,47
4,0.9850249886512756,0.8533333333333334,256,44,256,44
5,0.985072672367096,0.8233333333333334,247,53,247,53
6,0.9837498664855957,0.8566666666666667,261,47,253,39
7,0.9850249886512756,0.8433333333333334,256,50,250,44
8,0.9837498664855957,0.8683333333333333,262,41,259,38
9,0.9837498664855957,0.8466666666666667,266,58,242,34
10,0.9837168455123901,0.855,271,58,242,29
