fold,threshold,accuracy,true_positive,false_positive,true_negative,false_negative
1,0.9849066734313965,0.86,248,32,268,52
2,0.9848342537879944,0.8516666666666667,254,43,257,46
3,0.9848781824111938,0.8533333333333334,244,32,268,56
4,0.9848736524581909,0.8666666666666667,261,41,259,39
5,0.9848781824111938,0.845,249,42,258,51
6,0.9848781824111938,0.88,263,35,265,37
7,0.9848781824111938,0.8783333333333333,262,35,265,38
8,0.9848781824111938,0.8483333333333334,246,37,263,54
9,0.9848781824111938,0.8566666666666667,254,40,260,46
10,0.9848781824111938,0.9083333333333333,276,31,269,24
