fold,threshold,accuracy,true_positive,false_positive,true_negative,false_negative
1,0.28290116786956787,0.9383333333333334,274,11,289,26
2,0.28290116786956787,0.92,265,13,287,35
3,0.275459885597229,0.9216666666666666,263,10,290,37
4,0.28290116786956787,0.9233333333333333,262,8,292,38
5,0.28290116786956787,0.9333333333333333,266,6,294,34
6,0.28290116786956787,0.9333333333333333,271,11,289,29
7,0.275459885597229,0.9416666666666667,278,13,287,22
8,0.275459885597229,0.94,273,9,291,27
9,0.2831263542175293,0.9466666666666667,274,6,294,26
10,0.28242385387420654,0.95,282,12,288,18
