fold,threshold,accuracy,true_positive,false_positive,true_negative,false_negative
1,0.279239296913147,0.945,276,9,291,24
2,0.2725648581981659,0.9333333333333333,269,9,291,31
3,0.2708178758621216,0.9433333333333334,273,7,293,27
4,0.2708178758621216,0.9416666666666667,272,7,293,28
5,0.2708178758621216,0.945,273,6,294,27
6,0.2708178758621216,0.9533333333333334,281,9,291,19
7,0.2707039713859558,0.9416666666666667,279,14,286,21
8,0.279239296913147,0.95,275,5,295,25
9,0.2708178758621216,0.9583333333333334,279,4,296,21
10,0.2708178758621216,0.96,285,9,291,15
